persona_id,age,age_bucket,gender,race_ethnicity,education,income_bracket,ses,party_id,ideology,persona_text
35,23,18-29,female,Black,Bachelor's,25k-50k,Upper-middle,Democrat,Conservative,"23-year-old Black female American with bachelor's education, 25k-50k income, Democrat party identification, and a conservative political ideology."
36,61,45-64,male,White,Bachelor's,25k-50k,Upper-middle,Independent / Other,Very conservative,"61-year-old White male American with bachelor's education, 25k-50k income, Independent / Other party identification, and a very conservative political ideology."
37,19,18-29,female,Hispanic,No HS / HS only,25k-50k,Lower-middle,Democrat,Moderate,"19-year-old Hispanic female American with no hs / hs only education, 25k-50k income, Democrat party identification, and a moderate political ideology."
38,81,65+,male,White,Graduate degree,100k-150k,High,Democrat,Moderate,"81-year-old White male American with graduate degree education, 100k-150k income, Democrat party identification, and a moderate political ideology."
39,20,18-29,female,Hispanic,No HS / HS only,75k-100k,Upper-middle,Republican,Moderate,"20-year-old Hispanic female American with no hs / hs only education, 75k-100k income, Republican party identification, and a moderate political ideology."
40,29,18-29,female,Asian,Some college / Associate,100k-150k,Upper-middle,Republican,Liberal,"29-year-old Asian female American with some college / associate education, 100k-150k income, Republican party identification, and a liberal political ideology."
41,44,30-44,female,Asian,Graduate degree,<25k,Upper-middle,Republican,Conservative,"44-year-old Asian female American with graduate degree education, <25k income, Republican party identification, and a conservative political ideology."
42,38,30-44,male,Black,Some college / Associate,75k-100k,Upper-middle,Democrat,Very conservative,"38-year-old Black male American with some college / associate education, 75k-100k income, Democrat party identification, and a very conservative political ideology."
43,90,65+,male,White,Some college / Associate,<25k,Low,Independent / Other,Conservative,"90-year-old White male American with some college / associate education, <25k income, Independent / Other party identification, and a conservative political ideology."
44,52,45-64,female,White,Bachelor's,<25k,Upper-middle,Independent / Other,Conservative,"52-year-old White female American with bachelor's education, <25k income, Independent / Other party identification, and a conservative political ideology."
45,79,65+,female,White,Bachelor's,100k-150k,High,Democrat,Conservative,"79-year-old White female American with bachelor's education, 100k-150k income, Democrat party identification, and a conservative political ideology."
46,31,30-44,female,Other / Mixed,No HS / HS only,75k-100k,Upper-middle,Republican,Very conservative,"31-year-old Other / Mixed female American with no hs / hs only education, 75k-100k income, Republican party identification, and a very conservative political ideology."
47,68,65+,male,Black,No HS / HS only,50k-75k,Middle,Independent / Other,Very liberal,"68-year-old Black male American with no hs / hs only education, 50k-75k income, Independent / Other party identification, and a very liberal political ideology."
48,42,30-44,male,White,Some college / Associate,50k-75k,Middle,Republican,Moderate,"42-year-old White male American with some college / associate education, 50k-75k income, Republican party identification, and a moderate political ideology."
49,45,45-64,female,White,Bachelor's,75k-100k,Upper-middle,Independent / Other,Conservative,"45-year-old White female American with bachelor's education, 75k-100k income, Independent / Other party identification, and a conservative political ideology."
50,40,30-44,female,Asian,Some college / Associate,75k-100k,Upper-middle,Democrat,Very conservative,"40-year-old Asian female American with some college / associate education, 75k-100k income, Democrat party identification, and a very conservative political ideology."
51,55,45-64,female,White,No HS / HS only,<25k,Low,Republican,Very conservative,"55-year-old White female American with no hs / hs only education, <25k income, Republican party identification, and a very conservative political ideology."
52,84,65+,male,White,Some college / Associate,100k-150k,Upper-middle,Democrat,Liberal,"84-year-old White male American with some college / associate education, 100k-150k income, Democrat party identification, and a liberal political ideology."
53,55,45-64,male,White,Some college / Associate,25k-50k,Lower-middle,Republican,Very conservative,"55-year-old White male American with some college / associate education, 25k-50k income, Republican party identification, and a very conservative political ideology."
54,19,18-29,male,White,Some college / Associate,75k-100k,Upper-middle,Democrat,Very conservative,"19-year-old White male American with some college / associate education, 75k-100k income, Democrat party identification, and a very conservative political ideology."
55,42,30-44,female,White,No HS / HS only,25k-50k,Lower-middle,Republican,Conservative,"42-year-old White female American with no hs / hs only education, 25k-50k income, Republican party identification, and a conservative political ideology."
56,40,30-44,female,White,Bachelor's,25k-50k,Upper-middle,Republican,Liberal,"40-year-old White female American with bachelor's education, 25k-50k income, Republican party identification, and a liberal political ideology."
57,89,65+,male,Black,Bachelor's,25k-50k,Upper-middle,Independent / Other,Conservative,"89-year-old Black male American with bachelor's education, 25k-50k income, Independent / Other party identification, and a conservative political ideology."
58,48,45-64,female,White,Bachelor's,75k-100k,Upper-middle,Independent / Other,Moderate,"48-year-old White female American with bachelor's education, 75k-100k income, Independent / Other party identification, and a moderate political ideology."
59,84,65+,male,Black,Graduate degree,50k-75k,Upper-middle,Independent / Other,Moderate,"84-year-old Black male American with graduate degree education, 50k-75k income, Independent / Other party identification, and a moderate political ideology."
60,79,65+,female,White,No HS / HS only,75k-100k,Upper-middle,Independent / Other,Moderate,"79-year-old White female American with no hs / hs only education, 75k-100k income, Independent / Other party identification, and a moderate political ideology."
61,31,30-44,male,Hispanic,No HS / HS only,25k-50k,Lower-middle,Independent / Other,Very liberal,"31-year-old Hispanic male American with no hs / hs only education, 25k-50k income, Independent / Other party identification, and a very liberal political ideology."
62,32,30-44,female,Hispanic,No HS / HS only,25k-50k,Lower-middle,Republican,Moderate,"32-year-old Hispanic female American with no hs / hs only education, 25k-50k income, Republican party identification, and a moderate political ideology."
63,44,30-44,female,Hispanic,Graduate degree,<25k,Upper-middle,Independent / Other,Moderate,"44-year-old Hispanic female American with graduate degree education, <25k income, Independent / Other party identification, and a moderate political ideology."
64,74,65+,female,Hispanic,Bachelor's,150k+,High,Republican,Conservative,"74-year-old Hispanic female American with bachelor's education, 150k+ income, Republican party identification, and a conservative political ideology."
65,52,45-64,male,White,No HS / HS only,50k-75k,Middle,Republican,Conservative,"52-year-old White male American with no hs / hs only education, 50k-75k income, Republican party identification, and a conservative political ideology."
66,59,45-64,male,Asian,Graduate degree,50k-75k,Upper-middle,Independent / Other,Moderate,"59-year-old Asian male American with graduate degree education, 50k-75k income, Independent / Other party identification, and a moderate political ideology."
67,24,18-29,male,White,Some college / Associate,<25k,Low,Republican,Liberal,"24-year-old White male American with some college / associate education, <25k income, Republican party identification, and a liberal political ideology."
68,57,45-64,female,White,Graduate degree,50k-75k,Upper-middle,Independent / Other,Moderate,"57-year-old White female American with graduate degree education, 50k-75k income, Independent / Other party identification, and a moderate political ideology."
69,23,18-29,male,White,No HS / HS only,150k+,High,Democrat,Very liberal,"23-year-old White male American with no hs / hs only education, 150k+ income, Democrat party identification, and a very liberal political ideology."
70,84,65+,female,White,No HS / HS only,75k-100k,Upper-middle,Republican,Liberal,"84-year-old White female American with no hs / hs only education, 75k-100k income, Republican party identification, and a liberal political ideology."
71,50,45-64,male,Hispanic,Graduate degree,75k-100k,Upper-middle,Independent / Other,Liberal,"50-year-old Hispanic male American with graduate degree education, 75k-100k income, Independent / Other party identification, and a liberal political ideology."
72,54,45-64,female,White,Graduate degree,25k-50k,Upper-middle,Independent / Other,Liberal,"54-year-old White female American with graduate degree education, 25k-50k income, Independent / Other party identification, and a liberal political ideology."
73,72,65+,male,White,Bachelor's,100k-150k,High,Independent / Other,Liberal,"72-year-old White male American with bachelor's education, 100k-150k income, Independent / Other party identification, and a liberal political ideology."
74,56,45-64,male,White,Some college / Associate,<25k,Low,Independent / Other,Very liberal,"56-year-old White male American with some college / associate education, <25k income, Independent / Other party identification, and a very liberal political ideology."
75,58,45-64,female,Other / Mixed,Some college / Associate,100k-150k,Upper-middle,Independent / Other,Moderate,"58-year-old Other / Mixed female American with some college / associate education, 100k-150k income, Independent / Other party identification, and a moderate political ideology."
76,73,65+,male,Hispanic,Graduate degree,100k-150k,High,Republican,Conservative,"73-year-old Hispanic male American with graduate degree education, 100k-150k income, Republican party identification, and a conservative political ideology."
77,33,30-44,male,Black,No HS / HS only,100k-150k,Upper-middle,Democrat,Moderate,"33-year-old Black male American with no hs / hs only education, 100k-150k income, Democrat party identification, and a moderate political ideology."
78,30,30-44,male,White,No HS / HS only,50k-75k,Middle,Republican,Liberal,"30-year-old White male American with no hs / hs only education, 50k-75k income, Republican party identification, and a liberal political ideology."
79,53,45-64,female,White,Some college / Associate,25k-50k,Lower-middle,Democrat,Moderate,"53-year-old White female American with some college / associate education, 25k-50k income, Democrat party identification, and a moderate political ideology."
80,37,30-44,male,Hispanic,Some college / Associate,100k-150k,Upper-middle,Democrat,Liberal,"37-year-old Hispanic male American with some college / associate education, 100k-150k income, Democrat party identification, and a liberal political ideology."
81,39,30-44,male,White,Some college / Associate,25k-50k,Lower-middle,Independent / Other,Moderate,"39-year-old White male American with some college / associate education, 25k-50k income, Independent / Other party identification, and a moderate political ideology."
82,34,30-44,female,White,No HS / HS only,25k-50k,Lower-middle,Democrat,Moderate,"34-year-old White female American with no hs / hs only education, 25k-50k income, Democrat party identification, and a moderate political ideology."
83,21,18-29,male,Hispanic,No HS / HS only,50k-75k,Middle,Independent / Other,Moderate,"21-year-old Hispanic male American with no hs / hs only education, 50k-75k income, Independent / Other party identification, and a moderate political ideology."
84,74,65+,male,White,No HS / HS only,<25k,Low,Republican,Liberal,"74-year-old White male American with no hs / hs only education, <25k income, Republican party identification, and a liberal political ideology."
85,49,45-64,male,Hispanic,Bachelor's,<25k,Upper-middle,Democrat,Liberal,"49-year-old Hispanic male American with bachelor's education, <25k income, Democrat party identification, and a liberal political ideology."
86,30,30-44,female,White,Bachelor's,<25k,Upper-middle,Democrat,Moderate,"30-year-old White female American with bachelor's education, <25k income, Democrat party identification, and a moderate political ideology."
87,49,45-64,male,White,Some college / Associate,25k-50k,Lower-middle,Independent / Other,Very liberal,"49-year-old White male American with some college / associate education, 25k-50k income, Independent / Other party identification, and a very liberal political ideology."
88,64,45-64,male,White,Some college / Associate,50k-75k,Middle,Republican,Conservative,"64-year-old White male American with some college / associate education, 50k-75k income, Republican party identification, and a conservative political ideology."
89,39,30-44,male,White,Graduate degree,<25k,Upper-middle,Independent / Other,Moderate,"39-year-old White male American with graduate degree education, <25k income, Independent / Other party identification, and a moderate political ideology."
90,21,18-29,female,White,No HS / HS only,<25k,Low,Republican,Moderate,"21-year-old White female American with no hs / hs only education, <25k income, Republican party identification, and a moderate political ideology."
91,41,30-44,female,White,Bachelor's,<25k,Upper-middle,Democrat,Liberal,"41-year-old White female American with bachelor's education, <25k income, Democrat party identification, and a liberal political ideology."
92,51,45-64,male,White,Some college / Associate,75k-100k,Upper-middle,Independent / Other,Conservative,"51-year-old White male American with some college / associate education, 75k-100k income, Independent / Other party identification, and a conservative political ideology."
93,22,18-29,female,White,Bachelor's,150k+,High,Republican,Moderate,"22-year-old White female American with bachelor's education, 150k+ income, Republican party identification, and a moderate political ideology."
94,34,30-44,female,White,Some college / Associate,<25k,Low,Democrat,Moderate,"34-year-old White female American with some college / associate education, <25k income, Democrat party identification, and a moderate political ideology."
95,31,30-44,female,White,Bachelor's,100k-150k,High,Republican,Very liberal,"31-year-old White female American with bachelor's education, 100k-150k income, Republican party identification, and a very liberal political ideology."
96,83,65+,male,White,Bachelor's,50k-75k,Upper-middle,Independent / Other,Very conservative,"83-year-old White male American with bachelor's education, 50k-75k income, Independent / Other party identification, and a very conservative political ideology."
97,60,45-64,female,Other / Mixed,Some college / Associate,25k-50k,Lower-middle,Republican,Very liberal,"60-year-old Other / Mixed female American with some college / associate education, 25k-50k income, Republican party identification, and a very liberal political ideology."
98,37,30-44,female,White,Graduate degree,100k-150k,High,Republican,Moderate,"37-year-old White female American with graduate degree education, 100k-150k income, Republican party identification, and a moderate political ideology."
99,42,30-44,female,White,Some college / Associate,150k+,High,Independent / Other,Moderate,"42-year-old White female American with some college / associate education, 150k+ income, Independent / Other party identification, and a moderate political ideology."
100,23,18-29,female,Hispanic,Some college / Associate,50k-75k,Middle,Democrat,Liberal,"23-year-old Hispanic female American with some college / associate education, 50k-75k income, Democrat party identification, and a liberal political ideology."
101,44,30-44,female,Hispanic,No HS / HS only,150k+,High,Independent / Other,Liberal,"44-year-old Hispanic female American with no hs / hs only education, 150k+ income, Independent / Other party identification, and a liberal political ideology."
102,62,45-64,female,White,No HS / HS only,100k-150k,Upper-middle,Democrat,Very conservative,"62-year-old White female American with no hs / hs only education, 100k-150k income, Democrat party identification, and a very conservative political ideology."
103,29,18-29,male,White,Bachelor's,50k-75k,Upper-middle,Republican,Moderate,"29-year-old White male American with bachelor's education, 50k-75k income, Republican party identification, and a moderate political ideology."
104,21,18-29,female,Asian,Some college / Associate,100k-150k,Upper-middle,Independent / Other,Liberal,"21-year-old Asian female American with some college / associate education, 100k-150k income, Independent / Other party identification, and a liberal political ideology."
105,44,30-44,male,Black,No HS / HS only,<25k,Low,Independent / Other,Conservative,"44-year-old Black male American with no hs / hs only education, <25k income, Independent / Other party identification, and a conservative political ideology."
106,49,45-64,male,White,Some college / Associate,25k-50k,Lower-middle,Independent / Other,Moderate,"49-year-old White male American with some college / associate education, 25k-50k income, Independent / Other party identification, and a moderate political ideology."
107,87,65+,male,White,Some college / Associate,100k-150k,Upper-middle,Republican,Liberal,"87-year-old White male American with some college / associate education, 100k-150k income, Republican party identification, and a liberal political ideology."
108,77,65+,female,White,Some college / Associate,100k-150k,Upper-middle,Independent / Other,Moderate,"77-year-old White female American with some college / associate education, 100k-150k income, Independent / Other party identification, and a moderate political ideology."
109,63,45-64,female,White,No HS / HS only,100k-150k,Upper-middle,Democrat,Very conservative,"63-year-old White female American with no hs / hs only education, 100k-150k income, Democrat party identification, and a very conservative political ideology."
110,28,18-29,female,Other / Mixed,No HS / HS only,100k-150k,Upper-middle,Democrat,Moderate,"28-year-old Other / Mixed female American with no hs / hs only education, 100k-150k income, Democrat party identification, and a moderate political ideology."
111,23,18-29,female,Black,Bachelor's,25k-50k,Upper-middle,Democrat,Conservative,"23-year-old Black female American with bachelor's education, 25k-50k income, Democrat party identification, and a conservative political ideology."
112,66,65+,male,Hispanic,No HS / HS only,75k-100k,Upper-middle,Democrat,Liberal,"66-year-old Hispanic male American with no hs / hs only education, 75k-100k income, Democrat party identification, and a liberal political ideology."
113,89,65+,female,Hispanic,Bachelor's,50k-75k,Upper-middle,Independent / Other,Very conservative,"89-year-old Hispanic female American with bachelor's education, 50k-75k income, Independent / Other party identification, and a very conservative political ideology."
114,54,45-64,female,White,Some college / Associate,25k-50k,Lower-middle,Republican,Conservative,"54-year-old White female American with some college / associate education, 25k-50k income, Republican party identification, and a conservative political ideology."
115,27,18-29,female,Black,Some college / Associate,25k-50k,Lower-middle,Independent / Other,Liberal,"27-year-old Black female American with some college / associate education, 25k-50k income, Independent / Other party identification, and a liberal political ideology."
116,34,30-44,female,Hispanic,Graduate degree,50k-75k,Upper-middle,Democrat,Moderate,"34-year-old Hispanic female American with graduate degree education, 50k-75k income, Democrat party identification, and a moderate political ideology."
117,83,65+,female,White,Graduate degree,75k-100k,Upper-middle,Republican,Liberal,"83-year-old White female American with graduate degree education, 75k-100k income, Republican party identification, and a liberal political ideology."
118,68,65+,male,White,Some college / Associate,50k-75k,Middle,Independent / Other,Liberal,"68-year-old White male American with some college / associate education, 50k-75k income, Independent / Other party identification, and a liberal political ideology."
119,53,45-64,male,White,Bachelor's,100k-150k,High,Independent / Other,Very conservative,"53-year-old White male American with bachelor's education, 100k-150k income, Independent / Other party identification, and a very conservative political ideology."
120,74,65+,male,Hispanic,No HS / HS only,100k-150k,Upper-middle,Democrat,Liberal,"74-year-old Hispanic male American with no hs / hs only education, 100k-150k income, Democrat party identification, and a liberal political ideology."
121,49,45-64,female,Hispanic,Graduate degree,75k-100k,Upper-middle,Democrat,Moderate,"49-year-old Hispanic female American with graduate degree education, 75k-100k income, Democrat party identification, and a moderate political ideology."
122,47,45-64,male,Asian,No HS / HS only,50k-75k,Middle,Democrat,Conservative,"47-year-old Asian male American with no hs / hs only education, 50k-75k income, Democrat party identification, and a conservative political ideology."
123,38,30-44,male,Asian,Bachelor's,25k-50k,Upper-middle,Independent / Other,Moderate,"38-year-old Asian male American with bachelor's education, 25k-50k income, Independent / Other party identification, and a moderate political ideology."
124,55,45-64,male,Black,Some college / Associate,<25k,Low,Independent / Other,Liberal,"55-year-old Black male American with some college / associate education, <25k income, Independent / Other party identification, and a liberal political ideology."
125,57,45-64,male,Other / Mixed,Bachelor's,25k-50k,Upper-middle,Independent / Other,Very liberal,"57-year-old Other / Mixed male American with bachelor's education, 25k-50k income, Independent / Other party identification, and a very liberal political ideology."
126,40,30-44,male,Hispanic,No HS / HS only,25k-50k,Lower-middle,Independent / Other,Moderate,"40-year-old Hispanic male American with no hs / hs only education, 25k-50k income, Independent / Other party identification, and a moderate political ideology."
127,64,45-64,male,Black,Some college / Associate,150k+,High,Democrat,Very liberal,"64-year-old Black male American with some college / associate education, 150k+ income, Democrat party identification, and a very liberal political ideology."
128,74,65+,male,Hispanic,No HS / HS only,<25k,Low,Democrat,Very conservative,"74-year-old Hispanic male American with no hs / hs only education, <25k income, Democrat party identification, and a very conservative political ideology."
129,38,30-44,female,White,Some college / Associate,75k-100k,Upper-middle,Independent / Other,Very conservative,"38-year-old White female American with some college / associate education, 75k-100k income, Independent / Other party identification, and a very conservative political ideology."
130,49,45-64,female,Black,Some college / Associate,100k-150k,Upper-middle,Independent / Other,Very conservative,"49-year-old Black female American with some college / associate education, 100k-150k income, Independent / Other party identification, and a very conservative political ideology."
131,51,45-64,female,White,Graduate degree,100k-150k,High,Democrat,Conservative,"51-year-old White female American with graduate degree education, 100k-150k income, Democrat party identification, and a conservative political ideology."
132,76,65+,male,White,No HS / HS only,150k+,High,Independent / Other,Conservative,"76-year-old White male American with no hs / hs only education, 150k+ income, Independent / Other party identification, and a conservative political ideology."
133,40,30-44,female,White,No HS / HS only,100k-150k,Upper-middle,Democrat,Liberal,"40-year-old White female American with no hs / hs only education, 100k-150k income, Democrat party identification, and a liberal political ideology."
134,26,18-29,male,White,No HS / HS only,100k-150k,Upper-middle,Republican,Liberal,"26-year-old White male American with no hs / hs only education, 100k-150k income, Republican party identification, and a liberal political ideology."
135,20,18-29,male,Other / Mixed,Some college / Associate,100k-150k,Upper-middle,Democrat,Conservative,"20-year-old Other / Mixed male American with some college / associate education, 100k-150k income, Democrat party identification, and a conservative political ideology."
136,42,30-44,female,White,No HS / HS only,<25k,Low,Democrat,Conservative,"42-year-old White female American with no hs / hs only education, <25k income, Democrat party identification, and a conservative political ideology."
137,60,45-64,male,White,No HS / HS only,50k-75k,Middle,Republican,Liberal,"60-year-old White male American with no hs / hs only education, 50k-75k income, Republican party identification, and a liberal political ideology."
138,61,45-64,male,White,Some college / Associate,<25k,Low,Independent / Other,Conservative,"61-year-old White male American with some college / associate education, <25k income, Independent / Other party identification, and a conservative political ideology."
139,29,18-29,female,Asian,No HS / HS only,<25k,Low,Independent / Other,Very liberal,"29-year-old Asian female American with no hs / hs only education, <25k income, Independent / Other party identification, and a very liberal political ideology."
140,62,45-64,female,Hispanic,Some college / Associate,50k-75k,Middle,Democrat,Moderate,"62-year-old Hispanic female American with some college / associate education, 50k-75k income, Democrat party identification, and a moderate political ideology."
141,48,45-64,female,Black,Some college / Associate,100k-150k,Upper-middle,Independent / Other,Liberal,"48-year-old Black female American with some college / associate education, 100k-150k income, Independent / Other party identification, and a liberal political ideology."
142,35,30-44,female,Black,Some college / Associate,75k-100k,Upper-middle,Democrat,Liberal,"35-year-old Black female American with some college / associate education, 75k-100k income, Democrat party identification, and a liberal political ideology."
143,86,65+,female,Asian,No HS / HS only,100k-150k,Upper-middle,Democrat,Very liberal,"86-year-old Asian female American with no hs / hs only education, 100k-150k income, Democrat party identification, and a very liberal political ideology."
144,82,65+,male,White,Graduate degree,50k-75k,Upper-middle,Independent / Other,Moderate,"82-year-old White male American with graduate degree education, 50k-75k income, Independent / Other party identification, and a moderate political ideology."
145,78,65+,male,Black,Bachelor's,150k+,High,Independent / Other,Moderate,"78-year-old Black male American with bachelor's education, 150k+ income, Independent / Other party identification, and a moderate political ideology."
146,40,30-44,male,White,Bachelor's,25k-50k,Upper-middle,Republican,Very liberal,"40-year-old White male American with bachelor's education, 25k-50k income, Republican party identification, and a very liberal political ideology."
147,36,30-44,female,Black,Graduate degree,100k-150k,High,Independent / Other,Moderate,"36-year-old Black female American with graduate degree education, 100k-150k income, Independent / Other party identification, and a moderate political ideology."
148,87,65+,female,White,No HS / HS only,75k-100k,Upper-middle,Democrat,Moderate,"87-year-old White female American with no hs / hs only education, 75k-100k income, Democrat party identification, and a moderate political ideology."
149,83,65+,female,Hispanic,No HS / HS only,75k-100k,Upper-middle,Independent / Other,Very liberal,"83-year-old Hispanic female American with no hs / hs only education, 75k-100k income, Independent / Other party identification, and a very liberal political ideology."
150,37,30-44,male,White,No HS / HS only,75k-100k,Upper-middle,Independent / Other,Moderate,"37-year-old White male American with no hs / hs only education, 75k-100k income, Independent / Other party identification, and a moderate political ideology."
151,20,18-29,female,Hispanic,No HS / HS only,<25k,Low,Republican,Moderate,"20-year-old Hispanic female American with no hs / hs only education, <25k income, Republican party identification, and a moderate political ideology."
152,33,30-44,male,Hispanic,No HS / HS only,50k-75k,Middle,Democrat,Conservative,"33-year-old Hispanic male American with no hs / hs only education, 50k-75k income, Democrat party identification, and a conservative political ideology."
153,46,45-64,female,White,Graduate degree,<25k,Upper-middle,Democrat,Very conservative,"46-year-old White female American with graduate degree education, <25k income, Democrat party identification, and a very conservative political ideology."
154,54,45-64,male,White,No HS / HS only,75k-100k,Upper-middle,Democrat,Moderate,"54-year-old White male American with no hs / hs only education, 75k-100k income, Democrat party identification, and a moderate political ideology."
155,56,45-64,male,White,Bachelor's,<25k,Upper-middle,Democrat,Very conservative,"56-year-old White male American with bachelor's education, <25k income, Democrat party identification, and a very conservative political ideology."
156,63,45-64,male,White,Some college / Associate,25k-50k,Lower-middle,Republican,Very conservative,"63-year-old White male American with some college / associate education, 25k-50k income, Republican party identification, and a very conservative political ideology."
157,79,65+,female,Black,Graduate degree,<25k,Upper-middle,Independent / Other,Liberal,"79-year-old Black female American with graduate degree education, <25k income, Independent / Other party identification, and a liberal political ideology."
